web-scraper-order,web-scraper-start-url,EventID,EventID-href,Organisation,Event Name,DayDate,Duration,Location,Cause1,Cause2,Cause3,Skills,Suitability,Min Age
1517464596-244,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6592095,YMCA of Singapore,Y Makan Fellowship,"Sat, 10 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Sat, 17 Mar 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 21 Apr 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 19 May 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 09 Jun 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 21 Jul 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 18 Aug 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 22 Sep 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 13 Oct 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 17 Nov 2018 8:30 AM 
	                               	
	               		 
	                	Sat, 15 Dec 2018 8:30 AM",8:30 AM TO 1:30 PM (5.0 hours),"Orchard
                  
                    1 ORCHARD ROAD 

                    Singapore 238824",Community,Elderly,Social Service,Skills required: No Specific Skills Required,"Suitable for: First Timers, Open to All",Min. age: 13
1517464285-182,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6218262,Yishun Community Hospital,"Mobile Library in the wards (Every Wednesday, 9.30am-11.30am)","Wed, 15 Nov 2017 to Wed, 26 Dec 2018",Few hours a week on weekday,"Yishun
                  
                    2 YISHUN CENTRAL 2 

                    Singapore 768024",Community,Education,Elderly,Skills required: No Specific Skills Required,Suitable for: Open to All,null
1517464255-176,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6600634,Singapore Red Cross Society,SRC South East District ElderAid Programme,"Mon, 1 Jan 2018 to Tue, 31 Jul 2018",Flexible on weekday or weekend,"Bedok
                  
                    38 CHAI CHEE AVENUE 

                    Singapore 461038",Community,Disability,Elderly,Skills required: No Specific Skills Required,"Suitable for: First Timers, Seniors, Open to All",Min. age: 18
1517463384-3,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6656886,Care Community Services Society,Sembawang d'Klub Mentoring Programme (P3-P6),"Thu, 25 Jan 2018 to Sat, 26 Jan 2019",Few hours a week on weekend,"Sembawang
                  
                    2125 SEMBAWANG ROAD 

                    Singapore 758528",Children & Youth,Community,Education,Skills required: No Specific Skills Required,Suitable for: Open to All,Min. age: 18
1517464571-239,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6085563,Loving Heart Multi-Service Centre (Jurong),Mentoring,"Mon, 12 Feb 2018",3:00 PM TO 4:30 PM (385.5 hours),"Jurong East
                  
                    Participating schools in Jurong area 

                    Singapore 600316",null,null,null,Skills required: No Specific Skills Required,"Suitable for: First Timers, Seniors, Open to All",Min. age: 18
1517464420-209,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6598458,YMCA of Singapore,Y Dance Outreach,"Sat, 03 Mar 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Sat, 07 Apr 2018 2:00 PM 
	                               	
	               		 
	                	Sat, 05 May 2018 2:00 PM 
	                               	
	               		 
	                	Sat, 02 Jun 2018 2:00 PM 
	                               	
	               		 
	                	Sat, 07 Jul 2018 2:00 PM 
	                               	
	               		 
	                	Sat, 04 Aug 2018 2:00 PM 
	                               	
	               		 
	                	Sat, 01 Sep 2018 2:00 PM 
	                               	
	               		 
	                	Sat, 06 Oct 2018 2:00 PM 
	                               	
	               		 
	                	Sat, 03 Nov 2018 2:00 PM 
	                               	
	               		 
	                	Sat, 01 Dec 2018 2:00 PM",2:00 PM TO 5:00 PM (3.0 hours),"Bishan
                  
                    6 BISHAN STREET 13 

                    Singapore 579798",Children & Youth,Community,Disability,Skills required: No Specific Skills Required,"Suitable for: First Timers, Open to All",Min. age: 15
1517463399-6,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6623960,Care Community Services Society,Tutors for CareHut Programme,"Tue, 16 Jan 2018 to Tue, 15 Jan 2019",1 day per week on weekday,"Islandwide
                  
                    247 PAYA LEBAR ROAD 

                    Singapore 409045",Children & Youth,Community,Social Service,Skills required: No Specific Skills Required,Suitable for: Open to All,Min. age: 18
1517464280-181,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6255885,South Central Community Family Service Centre Limited,Tutoring Opportunities for Working Adults,"Fri, 17 Nov 2017 to Sat, 17 Nov 2018",Flexible on weekday or weekend,"River Valley
                  
                    5 DELTA AVENUE 

                    Singapore 160005",Children & Youth,Families,Social Service,Skills required: No Specific Skills Required,Suitable for: Open to All,Min. age: 20
1517464626-250,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6622291,Ground-Up Initiative (GUI),Craftwork & Maintenance @ Kampung Kampus,"Thu, 08 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Thu, 22 Feb 2018 10:00 AM",10:00 AM TO 5:00 PM (7.0 hours),"Yishun
                  
                    91, LORONG CHENCHARU 

                    Singapore 769201",Community,Education,Environment,null,null,null
1517464651-255,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6680416,Young Women's Christian Association of Singapore,Kids Weekday Care (KWC),"Wed, 07 Feb 2018",3:00 PM TO 4:00 PM (1.0 hour),"Outram
                  
                    254, OUTRAM ROAD, YWCA NATIONAL OFFICE 

                    Singapore 169051",Children & Youth,null,null,Skills required: No Specific Skills Required,Suitable for: Open to All,Min. age: 16
1517464108-147,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6681865,Chinese Development Assistance Council,2018 Mandarin News Reading and Sharing Programme,"Mon, 8 Jan 2018 to Fri, 30 Nov 2018",Few hours a week on weekday,"Bukit Panjang
                  
                    270 BANGKIT ROAD 

                    Singapore 670270",Elderly,null,null,Skills required: No Specific Skills Required,Suitable for: Open to All,null
1517464103-146,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6681895,Chinese Development Assistance Council,2018 Mandarin News Reading and Sharing Programme,"Mon, 8 Jan 2018 to Fri, 30 Nov 2018",Few hours a week on weekday,"Choa Chu Kang
                  
                    627 CHOA CHU KANG STREET 62 

                    Singapore 680627",Elderly,null,null,Skills required: No Specific Skills Required,Suitable for: Open to All,null
1517464425-210,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6134015,The Salvation Army,Prison Support Services Group Sessions,"Sat, 03 Mar 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Sat, 14 Apr 2018 12:30 PM 
	                               	
	               		 
	                	Sat, 21 Jul 2018 12:30 PM 
	                               	
	               		 
	                	Sat, 25 Aug 2018 12:30 PM 
	                               	
	               		 
	                	Sat, 29 Sep 2018 12:30 PM",12:30 PM TO 4:30 PM (4.0 hours),"Tanglin
                  
                    356, TANGLIN ROAD 

                    Singapore 247674",Children & Youth,null,null,Skills required: Other Skills,Suitable for: Open to All,Min. age: 21
1517464098-145,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6681875,Chinese Development Assistance Council,2018 Mandarin News Reading and Sharing Programme,"Mon, 8 Jan 2018 to Fri, 30 Nov 2018",Few hours a week on weekday,"Punggol
                  
                    512 HOUGANG AVENUE 10 

                    Singapore 530512",Elderly,null,null,Skills required: No Specific Skills Required,Suitable for: Open to All,null
1517464230-171,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6594837,Singapore Anglican Community Services,Cooking Class,"Mon, 1 Jan 2018 to Mon, 31 Dec 2018",2 to 3 days per week on weekday,"Bukit Batok
                  
                    267 BUKIT BATOK EAST AVENUE 4 

                    Singapore 650267",Community,Elderly,Families,Skills required: NA,Suitable for: Open to All,null
1517464400-205,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6303147,Bright Vision Hospital,Ward Birthday Celebration,"Tue, 06 Mar 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Tue, 03 Apr 2018 1:30 PM",1:30 PM TO 3:00 PM (1.5 hour),"Hougang
                  
                    5, LORONG NAPIRI, BRIGHT VISION HOSPITALLevel 2 Reception 

                    Singapore 547530",Community,Elderly,Health,Skills required: No Specific Skills Required,"Suitable for: First Timers, Seniors, Open to All",Min. age: 16
1517464160-157,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6409653,Presbyterian Community Services,Community Befriending Programme,"Tue, 2 Jan 2018 to Tue, 31 Jul 2018",Flexible on weekday or weekend,"Geylang
                  
                    33 EUNOS CRESCENT 

                    Singapore 400033",Community,Elderly,Social Service,"Skills required: Arts & Music, Counselling & Mentoring, Medical & Health, Other Skills, No Specific Skills Required","Suitable for: First Timers, Seniors, Open to All, Family Friendly",Min. age: 48
1517464245-174,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6283261,Yishun Community Hospital,Porters required (at least 6 months),"Mon, 1 Jan 2018 to Mon, 31 Dec 2018",Few hours a week on weekday or weekend,"Yishun
                  
                    2, YISHUN CENTRAL 2 

                    Singapore 768024",Community,Elderly,Health,Skills required: No Specific Skills Required,Suitable for: Open to All,Min. age: 25
1517464661-257,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6633648,YMCA of Singapore,YMCA Project Bridge,"Wed, 07 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Thu, 08 Feb 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 14 Feb 2018 2:00 PM 
	                               	
	               		 
	                	Thu, 22 Feb 2018 2:00 PM 
	                               	
	               		 
	                	Fri, 23 Feb 2018 2:00 PM 
	                               	
	               		 
	                	Mon, 26 Feb 2018 2:00 PM 
	                               	
	               		 
	                	Wed, 28 Feb 2018 2:00 PM",2:00 PM TO 6:00 PM (4.0 hours),"Woodlands
                  
                    892B WOODLANDS DRIVE 50 

                    Singapore 731892",Children & Youth,Community,Social Service,Skills required: No Specific Skills Required,"Suitable for: First Timers, Open to All",Min. age: 19
1517464210-167,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6595175,Singapore Anglican Community Services,Music Appreciation,"Mon, 1 Jan 2018 to Mon, 31 Dec 2018",1 day per week on weekday,"Bukit Batok
                  
                    267 BUKIT BATOK EAST AVENUE 4 

                    Singapore 650267",Community,Families,Health,Skills required: Arts & Music,Suitable for: Open to All,null
1517464517-228,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6092060,Caregiving Welfare Association,"Flag Day 2018 (24 Feb, Sat/ 8am to 12pm or 1pm to 5pm)","Sat, 24 Feb 2018",8:00 AM TO 4:00 PM (8.0 hours),"Queenstown
                  
                    3, GHIM MOH ROAD 

                    Singapore 270003",null,null,null,Skills required: Fundraising,Suitable for: Open to All,null
1517464671-259,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6660706,Parkinson Society Singapore,Exercise Class Assistant,"Wed, 07 Feb 2018
              
	            
	              
					  
					   
					   
					
					    change date 
					        
					   
					   
					   Change Date 
					  
	                	Tue, 13 Feb 2018 11:30 AM 
	                               	
	               		 
	                	Tue, 20 Feb 2018 11:30 AM 
	                               	
	               		 
	                	Wed, 21 Feb 2018 12:00 PM 
	                               	
	               		 
	                	Tue, 27 Feb 2018 11:30 AM 
	                               	
	               		 
	                	Wed, 28 Feb 2018 12:00 PM",12:00 PM TO 3:00 PM (3.0 hours),"Bishan
                  
                    191, BISHAN STREET 13, HDB-BISHAN 

                    Singapore 570191",Community,Elderly,Health,Skills required: No Specific Skills Required,"Suitable for: First Timers, Seniors, Open to All",Min. age: 15
1517463409-8,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6606053,Care Community Services Society,d'Klub Mentoring Programme (P3-P6),"Sat, 13 Jan 2018 to Sat, 12 Jan 2019",1 day per week on weekend,"Islandwide
                  
                    247 PAYA LEBAR ROAD 

                    Singapore 409045",Children & Youth,Community,Education,Skills required: No Specific Skills Required,Suitable for: Open to All,Min. age: 18
1517464616-248,https://www.giving.sg/search?type=volunteer,,https://www.giving.sg/volunteer-event?event_activity_id=6619763,BEYOND SOCIAL SERVICES,Photographers for 'Kumar for Beyond',"Thu, 08 Feb 2018",7:00 PM TO 10:00 PM (3.0 hours),"Bukit Merah
                  
                    3C RIVER VALLEY ROAD 

                    Singapore 179022",Children & Youth,Community,Families,Skills required: Other Skills,Suitable for: Open to All,Min. age: 18
